@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4, 72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250, 18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1, 4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1, 4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19, 75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1, 4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1, 2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@inputs StatusAccount, DurationMonth, CreditHistory, Purpose, CreditAmount, SavingsAccount, EmploymentSince, InstallmentRate, StatusAndSex, Guarantors, ResidenceSince, Property, Age, InstallmentPlans, Housing, NCredits, Job, NPeopleMain, Telephone, ForeignWorker
@outputs Customer
@data
A11, 28.0, A32, A40, 4006.0, A61, A73, 3, A93, A101, 2.0, A123, 45.0, A143, A152, 1.0, A172, 1, A191, A201, 2
A12, 15.0, A32, A45, 1514.0, A62, A73, 4, A93, A103, 2.0, A121, 22.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A11, 60.0, A32, A49, 7297.0, A61, A75, 4, A93, A102, 4.0, A124, 36.0, A143, A151, 1.0, A173, 1, A191, A201, 2
A11, 36.0, A32, A41, 8229.0, A61, A73, 2, A93, A101, 2.0, A122, 26.0, A143, A152, 1.0, A173, 2, A191, A201, 2
A14, 24.0, A34, A42, 2028.0, A61, A74, 2, A93, A101, 2.0, A122, 30.0, A143, A152, 2.0, A172, 1, A191, A201, 1
A13, 42.0, A30, A49, 6289.0, A61, A72, 2, A91, A101, 1.0, A122, 33.0, A143, A152, 2.0, A173, 1, A191, A201, 1
A11, 18.0, A32, A43, 1936.0, A65, A74, 2, A94, A101, 4.0, A123, 23.0, A143, A151, 2.0, A172, 1, A191, A201, 1
A14, 12.0, A32, A40, 2390.0, A65, A75, 4, A93, A101, 3.0, A123, 50.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A12, 36.0, A32, A41, 6948.0, A61, A73, 2, A93, A101, 2.0, A123, 35.0, A143, A151, 1.0, A174, 1, A192, A201, 1
A12, 36.0, A30, A49, 1953.0, A61, A75, 4, A93, A101, 4.0, A124, 61.0, A143, A153, 1.0, A174, 1, A192, A201, 2
A14, 6.0, A32, A42, 2978.0, A63, A73, 1, A93, A101, 2.0, A123, 32.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A12, 16.0, A34, A40, 1175.0, A61, A71, 2, A93, A101, 3.0, A123, 68.0, A143, A153, 3.0, A171, 1, A192, A201, 1
A14, 18.0, A34, A40, 1028.0, A61, A73, 4, A92, A101, 3.0, A121, 36.0, A143, A152, 2.0, A173, 1, A191, A201, 1
A14, 36.0, A32, A40, 3079.0, A65, A73, 4, A93, A101, 4.0, A121, 36.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 15.0, A34, A49, 2326.0, A63, A73, 2, A93, A101, 4.0, A123, 27.0, A141, A152, 1.0, A173, 1, A191, A201, 1
A12, 12.0, A34, A40, 958.0, A61, A74, 2, A93, A101, 3.0, A121, 47.0, A143, A152, 2.0, A172, 2, A191, A201, 1
A14, 12.0, A32, A43, 3077.0, A61, A73, 2, A93, A101, 4.0, A123, 52.0, A143, A152, 1.0, A173, 1, A192, A201, 1
A11, 24.0, A32, A43, 3660.0, A61, A73, 2, A92, A101, 4.0, A123, 28.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A14, 12.0, A32, A43, 1493.0, A61, A72, 4, A92, A101, 3.0, A123, 34.0, A143, A152, 1.0, A173, 2, A191, A201, 1
A14, 24.0, A34, A41, 2346.0, A61, A74, 4, A93, A101, 3.0, A123, 35.0, A143, A152, 2.0, A173, 1, A192, A201, 1
A13, 6.0, A34, A46, 1047.0, A61, A73, 2, A92, A101, 4.0, A122, 50.0, A143, A152, 1.0, A172, 1, A191, A201, 1
A13, 15.0, A32, A46, 1905.0, A61, A75, 4, A93, A101, 4.0, A123, 40.0, A143, A151, 1.0, A174, 1, A192, A201, 1
A14, 15.0, A34, A43, 1316.0, A63, A73, 2, A94, A101, 2.0, A122, 47.0, A143, A152, 2.0, A172, 1, A191, A201, 1
A13, 24.0, A34, A49, 1275.0, A64, A73, 2, A91, A101, 4.0, A121, 36.0, A143, A152, 2.0, A173, 1, A192, A201, 1
A11, 24.0, A32, A40, 1371.0, A65, A73, 4, A92, A101, 4.0, A121, 25.0, A143, A151, 1.0, A173, 1, A191, A201, 2
A14, 22.0, A32, A43, 2675.0, A63, A75, 3, A93, A101, 4.0, A123, 40.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A14, 24.0, A32, A43, 3621.0, A62, A75, 2, A93, A101, 4.0, A123, 31.0, A143, A152, 2.0, A173, 1, A191, A201, 2
